fator,item_text
1,¿Cómo me encuentro ahora?
1,¿Cuánto dolor tengo en este momento?
1,¿Me siento relajado/a?
1,¿Me siento animado/a?
1,¿Me siento acompañado/a?
1,¿La sesión de musicoterapia me sirvió para expresarme?
1,¿La sesión de musicoterapia me sirvió para disfrutar?
1,¿La sesión de musicoterapia me sirvió para recordar o activar mi memoria?
1,¿La sesión de musicoterapia me sirvió para distraerme de mis preocupaciones?
1,¿La sesión de musicoterapia me sirvió para conectar con mis sentimientos?
1,¿La sesión de musicoterapia me sirvió para relacionarme con otras personas?
1,¿La sesión de musicoterapia me sirvió para hablar de mis sentimientos?
1,¿La sesión de musicoterapia hizo que el tiempo pase más rápido?
1,¿La sesión de musicoterapia me sirvió para conectar con sensaciones positivas?
