fator,item_text
1,Como estou me sentindo agora?
1,Quanta dor estou sentindo neste momento?
1,Eu me sinto relaxado/a?
1,Eu me sinto animado/a?
1,Eu me sinto acompanhado?
1,A sessão de musicoterapia me ajudou a me expressar?
1,A sessão de musicoterapia me ajudou a me divertir?
1,A sessão de musicoterapia me ajudou a lembrar ou a ativar minha memória?
1,A sessão de musicoterapia me distraiu de minhas preocupações?
1,A sessão de musicoterapia me ajudou a me conectar com meus sentimentos?
1,A sessão de musicoterapia me ajudou a me relacionar com outras pessoas?
1,A sessão de musicoterapia me ajudou a falar sobre meus sentimentos?
1,A sessão de musicoterapia me fez sentir que o tempo passou mais rápido?
1,A sessão de musicoterapia me ajudou a me conectar com sensações positivas?
