item_original;traducao_final
¿Cómo me encuentro ahora?;Como estou me sentindo agora?
¿Cuánto dolor tengo en este momento?;Quanta dor estou sentindo neste momento?
¿Me siento relajado/a?;Eu me sinto relaxado/a?
¿Me siento animado/a?;Eu me sinto animado/a?
¿Me siento acompañado/a?;Eu me sinto acompanhado?
¿La sesión de musicoterapia me sirvió para expresarme?;A sessão de musicoterapia me ajudou a me expressar?
¿La sesión de musicoterapia me sirvió para disfrutar?;A sessão de musicoterapia me ajudou a me divertir?
¿La sesión de musicoterapia me sirvió para recordar o activar mi memoria?;A sessão de musicoterapia me ajudou a lembrar ou a ativar minha memória?
¿La sesión de musicoterapia me sirvió para distraerme de mis preocupaciones?;A sessão de musicoterapia me distraiu de minhas preocupações?
¿La sesión de musicoterapia me sirvió para conectar con mis sentimientos?;A sessão de musicoterapia me ajudou a me conectar com meus sentimentos?
¿La sesión de musicoterapia me sirvió para relacionarme con otras personas?;A sessão de musicoterapia me ajudou a me relacionar com outras pessoas?
¿La sesión de musicoterapia me sirvió para hablar de mis sentimientos?;A sessão de musicoterapia me ajudou a falar sobre meus sentimentos?
¿La sesión de musicoterapia hizo que el tiempo pase más rápido?;A sessão de musicoterapia me fez sentir que o tempo passou mais rápido?
¿La sesión de musicoterapia me sirvió para conectar con sensaciones positivas?;A sessão de musicoterapia me ajudou a me conectar com sensações positivas?
